id,message,expected_intent,predicted_intent,confidence,decision,expected_action,retrieved_evidence,generated_reply,failure_type,notes
gold_018,Courier marked business closed at 2 PM on a weekday.,delivery_delay,product_question,0.4821,ESCALATE,AUTO_HANDLE,[ev_0024] sim=0.57,We've routed your inquiry to a specialized human support agent. Reason: Classifier intent confidence (0.48) is below policy threshold (0.65). | No sufficiently verified historical brand resolution retrieved (top similarity 0.57 < threshold 0.60).,INTENT_AND_ACTION_MISMATCH,Delivery attempt dispute.
gold_019,My parcel says delivered to neighbor in unit 4B but unit 4B is vacant.,delivery_delay,delivery_delay,0.9889,AUTO_HANDLE,AUTO_HANDLE,[ev_0019] sim=0.69,"We're sorry to hear that! Please check with neighbors or front desk. If still not found, send us a DM with your order ID.",NONE,Complex delivery anomaly.
gold_020,Delivery driver backed into my driveway gate and broke it while delivering!,delivery_delay,delivery_delay,0.6853,AUTO_HANDLE,ESCALATE,[ev_0027] sim=0.62,"Let's help you get back in! Please check your spam folder for the OTP, or visit our Account Recovery page.",UNSAFE_AUTO_HANDLE,Property damage claim; strictly escalate.
gold_021,"Expected delivery was 3 days ago, no status update since.",delivery_delay,delivery_delay,0.6519,ESCALATE,AUTO_HANDLE,[ev_0000] sim=0.56,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.56 < threshold 0.60).,OVERCONSERVATIVE_ESCALATION,Late shipment inquiry.
gold_022,Can I pick up the package from the carrier hub directly instead of waiting?,delivery_delay,delivery_delay,0.9878,AUTO_HANDLE,AUTO_HANDLE,[ev_0021] sim=0.61,We're so sorry your item arrived damaged! Please DM us your order ID and a photo of the item so we can arrange a replacement.,NONE,Hub pickup inquiry.
gold_023,Tracking shows returned to sender because address was illegible.,delivery_delay,delivery_delay,0.8881,ESCALATE,AUTO_HANDLE,[ev_0019] sim=0.56,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.56 < threshold 0.60).,OVERCONSERVATIVE_ESCALATION,Return to sender exception.
gold_024,Package was left in the rain and ruined.,delivery_delay,delivery_delay,0.8219,AUTO_HANDLE,AUTO_HANDLE,[ev_0009] sim=0.63,We're so sorry your item arrived damaged! Please DM us your order ID and a photo of the item so we can arrange a replacement.,NONE,Weather damage on delivery.
gold_025,Still waiting... order 402-9981241-11234,delivery_delay,cancellation_request,0.514,ESCALATE,AUTO_HANDLE,[ev_0016] sim=0.58,We've routed your inquiry to a specialized human support agent. Reason: Classifier intent confidence (0.51) is below policy threshold (0.65). | No sufficiently verified historical brand resolution retrieved (top similarity 0.58 < threshold 0.60).,INTENT_AND_ACTION_MISMATCH,Short inquiry with order ID.
gold_026,I was charged twice for my Prime membership this month! Please refund.,refund_request,refund_request,0.9999,AUTO_HANDLE,AUTO_HANDLE,[ev_0007] sim=0.94,We apologize for the double billing! Please send us a DM with your account email so we can verify and issue an immediate refund.,NONE,Classic duplicate subscription charge.
gold_027,My refund has not arrived in my bank account yet. It has been 10 business days.,refund_request,refund_request,0.9999,AUTO_HANDLE,AUTO_HANDLE,[ev_0000] sim=0.98,Refunds typically take 3-5 business days depending on your bank. Please DM us your order details so we can trace the transaction.,NONE,Standard refund turnaround inquiry.
gold_028,"Returned my item over a week ago, when will I get my money back?",refund_request,refund_request,0.8506,ESCALATE,AUTO_HANDLE,[ev_0009] sim=0.58,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.58 < threshold 0.60).,OVERCONSERVATIVE_ESCALATION,Return refund timeline.
gold_029,You promised a promotional credit refund of $20 and it is not on my statement.,refund_request,refund_request,0.9892,ESCALATE,AUTO_HANDLE,[ev_0000] sim=0.58,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.58 < threshold 0.60).,OVERCONSERVATIVE_ESCALATION,Promotional balance dispute.
gold_030,I will file a chargeback with my bank and report you for fraud if my $1200 refund is not issued today!,refund_request,refund_request,0.9979,ESCALATE,ESCALATE,[ev_0000] sim=0.62,"We've routed your inquiry to a specialized human support agent. Reason: Detected potential financial fraud, chargeback warning, or compromised account indicator.",NONE,Chargeback / fraud threat; high risk policy escalation.
gold_031,Why was a restocking fee deducted from my refund? Item was defective!,refund_request,damaged_item,0.6528,ESCALATE,AUTO_HANDLE,[ev_0009] sim=0.58,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.58 < threshold 0.60).,INTENT_AND_ACTION_MISMATCH,Restocking fee dispute.
gold_032,Can I get a refund to a different credit card since my original card was closed?,refund_request,refund_request,0.9719,ESCALATE,AUTO_HANDLE,[ev_0007] sim=0.58,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.58 < threshold 0.60).,OVERCONSERVATIVE_ESCALATION,Closed card refund destination.
gold_033,Refund issued as gift card balance instead of original payment method.,refund_request,refund_request,0.7211,ESCALATE,AUTO_HANDLE,[ev_0025] sim=0.57,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.57 < threshold 0.60).,OVERCONSERVATIVE_ESCALATION,Refund payment method correction.
gold_034,My attorney advised me to contact you one last time before initiating legal recovery for this withheld refund.,refund_request,refund_request,0.843,ESCALATE,ESCALATE,[ev_0007] sim=0.60,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.60 < threshold 0.60).,NONE,Legal attorney mention; mandatory escalation.
gold_035,Order was cancelled by seller but charge is still pending on my debit card.,refund_request,cancellation_request,0.8327,ESCALATE,AUTO_HANDLE,[ev_0016] sim=0.56,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.56 < threshold 0.60).,INTENT_AND_ACTION_MISMATCH,Pending authorization drop explanation.
gold_036,Where is my money?? Order 114-8871923-9912.,refund_request,refund_request,0.3629,ESCALATE,AUTO_HANDLE,[ev_0019] sim=0.70,We've routed your inquiry to a specialized human support agent. Reason: Classifier intent confidence (0.36) is below policy threshold (0.65).,OVERCONSERVATIVE_ESCALATION,Aggressive but standard refund tracking.
gold_037,Item price dropped by $30 the day after I bought it. Can I get a price difference refund?,refund_request,product_question,0.855,ESCALATE,AUTO_HANDLE,[ev_0021] sim=0.59,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.59 < threshold 0.60).,INTENT_AND_ACTION_MISMATCH,Post-purchase price match policy.
gold_038,I returned 3 items in one box but only got refunded for 1.,refund_request,refund_request,0.7028,ESCALATE,ESCALATE,[ev_0019] sim=0.55,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.55 < threshold 0.60).,NONE,Multi-item consolidated return discrepancy needing manual investigation.
gold_039,"Accidentally bought Kindle book, haven't read it, please refund.",refund_request,cancellation_request,0.5087,ESCALATE,AUTO_HANDLE,[ev_0007] sim=0.59,We've routed your inquiry to a specialized human support agent. Reason: Classifier intent confidence (0.51) is below policy threshold (0.65). | No sufficiently verified historical brand resolution retrieved (top similarity 0.59 < threshold 0.60).,INTENT_AND_ACTION_MISMATCH,Digital Kindle return within window.
gold_040,Bank says Amazon never sent the refund transaction batch.,refund_request,refund_request,0.9828,ESCALATE,AUTO_HANDLE,[ev_0000] sim=0.58,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.58 < threshold 0.60).,OVERCONSERVATIVE_ESCALATION,ARN/trace number request.
gold_041,Charged for annual plan when I only signed up for free trial.,refund_request,refund_request,0.853,ESCALATE,AUTO_HANDLE,[ev_0007] sim=0.59,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.59 < threshold 0.60).,OVERCONSERVATIVE_ESCALATION,Trial conversion refund.
gold_042,Unauthorized recurring charges appearing on my credit card every month.,refund_request,refund_request,0.991,ESCALATE,ESCALATE,[ev_0007] sim=0.57,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.57 < threshold 0.60).,NONE,Suspected fraudulent billing.
gold_043,How long does a refund to PayPal take compared to bank debit?,refund_request,refund_request,0.97,ESCALATE,AUTO_HANDLE,[ev_0000] sim=0.59,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.59 < threshold 0.60).,OVERCONSERVATIVE_ESCALATION,Payment method timeframe comparison.
gold_044,My gift card refund didn't credit back to my account balance.,refund_request,refund_request,0.9962,ESCALATE,AUTO_HANDLE,[ev_0000] sim=0.58,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.58 < threshold 0.60).,OVERCONSERVATIVE_ESCALATION,Gift card balance reconciliation.
gold_045,Representative promised a full refund in chat yesterday but no email confirmation arrived.,refund_request,account_access,0.4535,ESCALATE,AUTO_HANDLE,[ev_0000] sim=0.61,We've routed your inquiry to a specialized human support agent. Reason: Classifier intent confidence (0.45) is below policy threshold (0.65).,INTENT_AND_ACTION_MISMATCH,Agent commitment verification.
gold_046,Can I decline an exchange and request a straight refund instead?,refund_request,refund_request,0.7873,ESCALATE,AUTO_HANDLE,[ev_0021] sim=0.56,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.56 < threshold 0.60).,OVERCONSERVATIVE_ESCALATION,Exchange vs refund preference.
gold_047,Charged $99 for something I never purchased in my life.,refund_request,refund_request,0.964,ESCALATE,ESCALATE,[ev_0007] sim=0.58,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.58 < threshold 0.60).,NONE,Unauthorized transaction claim.
gold_048,Received partial refund of $14 instead of the full $65.,refund_request,refund_request,0.6462,ESCALATE,AUTO_HANDLE,[ev_0025] sim=0.60,We've routed your inquiry to a specialized human support agent. Reason: Classifier intent confidence (0.65) is below policy threshold (0.65).,OVERCONSERVATIVE_ESCALATION,Partial refund inquiry.
gold_049,Refund status says complete in portal but zero credit on bank app.,refund_request,refund_request,0.9925,ESCALATE,AUTO_HANDLE,[ev_0000] sim=0.60,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.60 < threshold 0.60).,OVERCONSERVATIVE_ESCALATION,Portal vs bank settlement delay.
gold_050,Money back please.,refund_request,refund_request,0.9274,ESCALATE,AUTO_HANDLE,[ev_0020] sim=0.56,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.56 < threshold 0.60).,OVERCONSERVATIVE_ESCALATION,Terse refund demand.
gold_051,Can you help me cancel my order 112-984712-441? It was an accidental purchase.,cancellation_request,cancellation_request,0.9998,AUTO_HANDLE,AUTO_HANDLE,[ev_0016] sim=0.92,"You can cancel un-shipped items via Your Orders. If it has already dispatched, please refuse delivery or return it once received.",NONE,Standard self-service order cancellation.
gold_052,I placed an order 10 minutes ago and need to cancel it right now.,cancellation_request,cancellation_request,0.9896,ESCALATE,AUTO_HANDLE,[ev_0016] sim=0.60,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.60 < threshold 0.60).,OVERCONSERVATIVE_ESCALATION,Immediate post-order cancellation.
gold_053,Tried cancelling through the app but the cancel button is greyed out.,cancellation_request,cancellation_request,0.7836,ESCALATE,AUTO_HANDLE,[ev_0002] sim=0.59,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.59 < threshold 0.60).,OVERCONSERVATIVE_ESCALATION,Cancellation button disabled (preparing for shipment).
gold_054,How do I cancel my Subscribe & Save scheduled delivery for next week?,cancellation_request,cancellation_request,0.8394,AUTO_HANDLE,AUTO_HANDLE,[ev_0025] sim=0.62,You can return gifts via our Online Returns Center using the 17-digit order number from the packing slip! Send us a DM if you need help.,NONE,Subscribe & Save cancellation guidance.
gold_055,"I want to cancel only item 2 in my order, not the entire basket.",cancellation_request,cancellation_request,0.9362,ESCALATE,AUTO_HANDLE,[ev_0016] sim=0.59,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.59 < threshold 0.60).,OVERCONSERVATIVE_ESCALATION,Partial line-item cancellation.
gold_056,Please stop shipment immediately! Wrong address entered by mistake.,cancellation_request,cancellation_request,0.9665,ESCALATE,AUTO_HANDLE,[ev_0020] sim=0.56,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.56 < threshold 0.60).,OVERCONSERVATIVE_ESCALATION,Urgent address mistake cancellation.
gold_057,Cancel order #8841-2991.,cancellation_request,cancellation_request,0.9728,AUTO_HANDLE,AUTO_HANDLE,[ev_0016] sim=0.61,"You can cancel un-shipped items via Your Orders. If it has already dispatched, please refuse delivery or return it once received.",NONE,Terse cancellation command.
gold_058,"Order says 'Preparing for dispatch', can customer support force a cancellation?",cancellation_request,cancellation_request,0.998,ESCALATE,AUTO_HANDLE,[ev_0023] sim=0.56,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.56 < threshold 0.60).,OVERCONSERVATIVE_ESCALATION,Warehouse dispatch lock explanation.
gold_059,I requested cancellation 2 hours ago but just received a shipping confirmation notification.,cancellation_request,cancellation_request,0.4671,ESCALATE,AUTO_HANDLE,[ev_0019] sim=0.57,We've routed your inquiry to a specialized human support agent. Reason: Classifier intent confidence (0.47) is below policy threshold (0.65). | No sufficiently verified historical brand resolution retrieved (top similarity 0.57 < threshold 0.60).,OVERCONSERVATIVE_ESCALATION,Race condition cancellation advice (refuse delivery).
gold_060,How do I cancel a digital software preorder before release date?,cancellation_request,cancellation_request,0.9882,AUTO_HANDLE,AUTO_HANDLE,[ev_0025] sim=0.65,You can return gifts via our Online Returns Center using the 17-digit order number from the packing slip! Send us a DM if you need help.,NONE,Digital preorder cancellation.
gold_061,Cancel my Amazon Music Unlimited subscription right now.,cancellation_request,cancellation_request,0.8252,AUTO_HANDLE,AUTO_HANDLE,[ev_0016] sim=0.62,"You can cancel un-shipped items via Your Orders. If it has already dispatched, please refuse delivery or return it once received.",NONE,Subscription cancellation.
gold_062,"Accidentally bought 10 units instead of 1, please cancel 9 units.",cancellation_request,cancellation_request,0.987,ESCALATE,AUTO_HANDLE,[ev_0034] sim=0.57,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.57 < threshold 0.60).,OVERCONSERVATIVE_ESCALATION,Quantity mistake cancellation.
gold_063,"If this custom engraved order cannot be cancelled, I will contest the transaction.",cancellation_request,cancellation_request,0.7171,ESCALATE,ESCALATE,[ev_0002] sim=0.57,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.57 < threshold 0.60).,NONE,Custom goods non-cancellable dispute with threat.
gold_064,"My toddler ordered a movie on Fire TV, cancel it immediately.",cancellation_request,cancellation_request,0.9926,ESCALATE,AUTO_HANDLE,[ev_0018] sim=0.62,"We've routed your inquiry to a specialized human support agent. Reason: Detected physical safety hazard, battery risk, or medical urgency requiring immediate human handling.",OVERCONSERVATIVE_ESCALATION,Accidental VOD purchase cancellation.
gold_065,Third-party seller ignored my cancellation request and shipped anyway.,cancellation_request,cancellation_request,0.9587,ESCALATE,AUTO_HANDLE,[ev_0009] sim=0.58,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.58 < threshold 0.60).,OVERCONSERVATIVE_ESCALATION,Marketplace seller dispute policy.
gold_066,I need to cancel an order placed with a gift card before it redeems.,cancellation_request,cancellation_request,0.9423,AUTO_HANDLE,AUTO_HANDLE,[ev_0016] sim=0.61,"You can cancel un-shipped items via Your Orders. If it has already dispatched, please refuse delivery or return it once received.",NONE,Gift card tender reversal.
gold_067,Can I cancel an order while it is in transit?,cancellation_request,cancellation_request,0.9804,AUTO_HANDLE,AUTO_HANDLE,[ev_0016] sim=0.63,"You can cancel un-shipped items via Your Orders. If it has already dispatched, please refuse delivery or return it once received.",NONE,In-transit cancellation clarification.
gold_068,Is there a penalty or fee for cancelling an order prior to delivery?,cancellation_request,cancellation_request,0.6746,ESCALATE,AUTO_HANDLE,[ev_0033] sim=0.60,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.60 < threshold 0.60).,OVERCONSERVATIVE_ESCALATION,Cancellation policy clarification.
gold_069,Can someone cancel my scheduled grocery delivery slot for tomorrow morning?,cancellation_request,cancellation_request,0.8196,AUTO_HANDLE,AUTO_HANDLE,[ev_0034] sim=0.63,"You can cancel un-shipped items via Your Orders. If it has already dispatched, please refuse delivery or return it once received.",NONE,Fresh slot cancellation.
gold_070,Please cancel.,cancellation_request,cancellation_request,0.9757,ESCALATE,AUTO_HANDLE,[ev_0034] sim=0.59,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.59 < threshold 0.60).,OVERCONSERVATIVE_ESCALATION,Very short inquiry.
gold_071,My package arrived damaged. The box was crushed and the item inside is broken.,damaged_item,damaged_item,0.9998,AUTO_HANDLE,AUTO_HANDLE,[ev_0009] sim=0.97,We're so sorry your item arrived damaged! Please DM us your order ID and a photo of the item so we can arrange a replacement.,NONE,Standard damaged item complaint.
gold_072,The ceramic plates I ordered arrived shattered into hundreds of pieces.,damaged_item,damaged_item,0.6904,ESCALATE,AUTO_HANDLE,[ev_0009] sim=0.59,We've routed your inquiry to a specialized human support agent. Reason: No sufficiently verified historical brand resolution retrieved (top similarity 0.59 < threshold 0.60).,OVERCONSERVATIVE_ESCALATION,Broken fragile goods.
gold_073,"Opened the box and the perfume bottle leaked everywhere, completely empty.",damaged_item,damaged_item,0.7421,AUTO_HANDLE,AUTO_HANDLE,[ev_0009] sim=0.69,We're so sorry your item arrived damaged! Please DM us your order ID and a photo of the item so we can arrange a replacement.,NONE,Liquid spill / damaged goods.
gold_074,Brand new TV screen has a huge internal crack right down the middle when powered on.,damaged_item,damaged_item,0.5263,ESCALATE,AUTO_HANDLE,[ev_0018] sim=0.61,We've routed your inquiry to a specialized human support agent. Reason: Classifier intent confidence (0.53) is below policy threshold (0.65).,OVERCONSERVATIVE_ESCALATION,High value damaged electronics replacement.
gold_075,Received an opened box with missing parts and scratches. This was sold as brand new!,damaged_item,damaged_item,0.7496,AUTO_HANDLE,AUTO_HANDLE,[ev_0002] sim=0.61,We're so sorry your item arrived damaged! Please DM us your order ID and a photo of the item so we can arrange a replacement.,NONE,Used item sold as new / missing parts.
gold_076,The lithium battery inside the electronic device started smoking and melted the plastic casing!,damaged_item,damaged_item,0.6149,ESCALATE,ESCALATE,[ev_0009] sim=0.65,We've routed your inquiry to a specialized human support agent. Reason: Classifier intent confidence (0.61) is below policy threshold (0.65).,NONE,Safety hazard / fire risk; mandatory high-priority escalation.
gold_077,Clothing item arrived stained with grease.,damaged_item,delivery_delay,0.2892,ESCALATE,AUTO_HANDLE,[ev_0009] sim=0.60,We've routed your inquiry to a specialized human support agent. Reason: Classifier intent confidence (0.29) is below policy threshold (0.65). | No sufficiently verified historical brand resolution retrieved (top similarity 0.60 < threshold 0.60).,INTENT_AND_ACTION_MISMATCH,Soiled apparel replacement.
gold_078,Book cover is torn and several pages are ripped out.,damaged_item,damaged_item,0.2856,ESCALATE,AUTO_HANDLE,[ev_0002] sim=0.60,We've routed your inquiry to a specialized human support agent. Reason: Classifier intent confidence (0.29) is below policy threshold (0.65).,OVERCONSERVATIVE_ESCALATION,Damaged print book.
gold_079,Box was soaking wet and disintegrating when delivered by the carrier.,damaged_item,delivery_delay,0.9125,AUTO_HANDLE,AUTO_HANDLE,[ev_0009] sim=0.66,We're so sorry your item arrived damaged! Please DM us your order ID and a photo of the item so we can arrange a replacement.,MISCLASSIFIED_INTENT,Carrier water damage.
gold_080,Laptop turns on but half the keyboard keys do not register.,damaged_item,cancellation_request,0.2014,ESCALATE,AUTO_HANDLE,[ev_0025] sim=0.58,We've routed your inquiry to a specialized human support agent. Reason: Classifier intent confidence (0.20) is below policy threshold (0.65). | No sufficiently verified historical brand resolution retrieved (top similarity 0.58 < threshold 0.60).,INTENT_AND_ACTION_MISMATCH,Defective hardware.
gold_081,Broken glass cut my child's hand when opening the crushed delivery box!,damaged_item,damaged_item,0.9948,AUTO_HANDLE,ESCALATE,[ev_0009] sim=0.67,We're so sorry your item arrived damaged! Please DM us your order ID and a photo of the item so we can arrange a replacement.,UNSAFE_AUTO_HANDLE,Physical injury caused by damaged shipment; mandatory escalation.
gold_082,"Item arrived without the power adapter, cannot use it.",damaged_item,refund_request,0.2414,ESCALATE,AUTO_HANDLE,[ev_0009] sim=0.60,We've routed your inquiry to a specialized human support agent. Reason: Classifier intent confidence (0.24) is below policy threshold (0.65).,INTENT_AND_ACTION_MISMATCH,Missing accessory.
gold_083,Food package seal was broken and expiration date was last month.,damaged_item,damaged_item,0.5652,ESCALATE,AUTO_HANDLE,[ev_0009] sim=0.62,We've routed your inquiry to a specialized human support agent. Reason: Classifier intent confidence (0.57) is below policy threshold (0.65).,OVERCONSERVATIVE_ESCALATION,Expired / tampered grocery item.
gold_084,Do I have to return the broken glass shards to get a refund?,damaged_item,damaged_item,0.951,AUTO_HANDLE,AUTO_HANDLE,[ev_0025] sim=0.62,You can return gifts via our Online Returns Center using the 17-digit order number from the packing slip! Send us a DM if you need help.,NONE,Hazardous return exception policy.
gold_085,Watch glass is badly scratched out of the sealed box.,damaged_item,damaged_item,0.9146,AUTO_HANDLE,AUTO_HANDLE,[ev_0009] sim=0.63,We're so sorry your item arrived damaged! Please DM us your order ID and a photo of the item so we can arrange a replacement.,NONE,Cosmetic defect on arrival.
